host_since;host_response_time;host_response_rate;host_acceptance_rate;host_is_superhost;host_listings_count;host_identity_verified;neighbourhood_cleansed;property_type;room_type;accommodates;bedrooms;beds;minimum_nights;maximum_nights;number_of_reviews;review_scores_rating;instant_bookable
09/09/2008;2;92;25;f;6;t;Midtown;Entire_apartment;Entire_home-apt;2;1;1;30;1125;48;94;f
07/12/2008;3;95;93;f;1;t;Clinton_Hill;Entire_guest_suite;Entire_home-apt;3;1;3;1;730;375;89;f
03/02/2009;3;87.640014;81.277545;f;1;t;Bedford-Stuyvesant;Private_room_in_apartment;Private_room;2;1;1;30;730;50;90;f
03/03/2009;1;100;100;f;1;f;Midtown;Private_room_in_apartment;Private_room;2;1;1;2;14;474;84;f
05/02/2009;3;87.640014;81.277545;f;1;t;Upper_West_Side;Private_room_in_apartment;Private_room;1;1;1;2;14;118;98;f
10/03/2009;2;90;100;t;3;t;South_Slope;Private_room_in_townhouse;Private_room;2;1;0;4;90;182;94;f
06/05/2009;3;87.640014;96;f;1;t;Williamsburg;Entire_apartment;Entire_home-apt;3;1;1;30;730;181;91;f
07/05/2009;3;87.640014;81.277545;f;0;t;East_Harlem;Private_room_in_condominium;Private_room;1;1;1;30;180;0;93.812903;f
12/05/2009;3;100;100;f;3;t;East_Harlem;Private_room_in_apartment;Private_room;1;1;1;30;700;233;98;t
17/05/2009;3;100;100;t;1;t;Fort_Greene;Entire_townhouse;Entire_home-apt;2;1;1;2;1125;239;97;t
20/05/2009;1;50;20;f;2;t;East_Harlem;Private_room_in_apartment;Private_room;1;2;2;30;365;0;93.812903;f
12/06/2009;2;100;50;f;1;f;Williamsburg;Entire_loft;Entire_home-apt;4;1;2;30;90;9;98;f
10/07/2009;3;92;97;f;2;t;Bedford-Stuyvesant;Entire_loft;Entire_home-apt;5;1;4;2;1125;118;95;f
06/08/2009;0;33;81.277545;f;1;t;Hells_Kitchen;Entire_apartment;Entire_home-apt;2;1;1;30;1125;58;90;f
16/06/2009;2;100;83;t;1;t;East_Village;Entire_apartment;Entire_home-apt;3;1;1;14;75;35;94;t
16/08/2009;0;0;36;f;1;t;Harlem;Private_room_in_apartment;Private_room;2;1;1;30;730;98;98;f
03/09/2009;3;100;100;f;0;t;Bedford-Stuyvesant;Private_room_in_apartment;Private_room;3;1;0;30;730;75;93;f
